id,Strength
117564,0.000719442478086346
117565,0.002674630503759378
117566,0.0005409657975511885
117567,0.03945678641290705
117568,0.004205128834724821
117569,0.9999570804703166
117570,0.0008307855574180692
117571,0.020715473936694716
117572,0.0008398905560218124
117573,0.0030761841964642473
117574,0.0013247962830584086
117575,0.13155867339152147
117576,0.01460484958411098
117577,0.04247647815785225
117578,0.0008522426121141827
117579,0.011549320955314303
117580,0.001263457715711707
117581,0.003085805955295227
117582,0.010452166320507926
117583,0.003080868912101861
117584,0.00012968487633022573
117585,0.0018038369262536214
117586,0.0010058966527101382
117587,0.5496387624766109
117588,0.057550747453299
117589,0.00025327756244477196
117590,0.9999370451908103
117591,0.0012285577825498473
117592,0.0017158159622709906
117593,0.0021609434280912714
117594,0.006340154880247307
117595,0.40156007259295795
117596,0.0006248770668231727
117597,0.00042506346055230684
117598,4.21031772698422e-05
117599,0.0027254638616854084
117600,0.9998432869198991
117601,0.0018500831091164684
117602,0.00491898247699077
117603,0.0003933559034038415
117604,0.00036881999707949584
117605,0.0003036312391490691
117606,0.00030206242074017693
117607,0.05218959492630401
117608,0.0014686355708108565
117609,0.0062823714794234655
117610,0.003116285071485255
117611,0.9986091971956759
117612,0.0019859253483015624
117613,0.0006237428870723688
117614,0.019184690370959972
117615,0.0016270099397702321
117616,0.001660601662861195
117617,0.0022656313045933425
117618,0.0003270546358979195
117619,0.012569223458192454
117620,0.000266362284768256
117621,0.0031864520632289696
117622,0.0017442538362774389
117623,0.997820643036401
117624,0.026028008863229934
117625,4.171771469660167e-05
117626,0.006759624950479193
117627,0.00012670996924697461
117628,0.0003138500003989389
117629,0.0011827108911131575
117630,0.0044204818364726685
117631,0.00727289022280065
117632,0.014463411021300391
117633,0.01061879761499086
117634,0.0030370539049025644
117635,0.9937593867932807
117636,0.0003683948217605468
117637,0.9713099154218289
117638,0.9982212389831554
117639,0.0027629086649679593
117640,0.0001669465420434836
117641,0.009314584255256988
117642,0.0001617193491661173
117643,0.0004878580229894962
